gene_id	r	p
ADAMTS13|11093	1.62661	0.00794916
ADAMTS14|140766	0.687996	0.0140585
ADAMTS15|170689	4.29833	0.0972143
ADAMTS16|170690	0.649138	0.0595586
ADAMTS17|170691	0.166667	NaN
ADAMTS18|170692	0.0833333	NaN
ADAMTS19|171019	0.0833333	NaN
ADAMTS1|9510	11.1628	0.010332
ADAMTS20|80070	0.166667	NaN
ADAMTS2|9509	1.34553	0.801452
ADAMTS3|9508	7.3135	0.0216602
ADAMTS4|9507	2.72813	0.135988
ADAMTS5|11096	12.3305	0.0337594
ADAMTS6|11174	5.55516	0.0259925
ADAMTS7|11173	2.35776	0.0329644
ADAMTS8|11095	0.672567	0.064018
ADAMTS9|56999	0.166667	NaN
ADAMTSL1|92949	1.49669	0.163335
ADAMTSL2|9719	151.037	0.968474
ADAMTSL3|57188	0	NaN
ADAMTSL4|54507	0.68343	0.000397147
ADAMTSL5|339366	12.4803	0.0717339
ADAP1|11033	5.53215	0.0106109
ADAP2|55803	0.827271	0.0183863
ADARB1|104	12.3582	0.002488
ADARB2|105	6.8445	0.00804831
ADAR|103	11.479	0.00151516
ADAT1|23536	12.711	0.0338619
ADAT2|134637	11.5512	0.012604
ADAT3|113179	10.448	0.0592408
ADA|100	8.43736	0.0119945
ADCK1|57143	11.0323	0.0388191
ADCK2|90956	10.0717	0.0276832
ADCK4|79934	13.9285	0.020571
ADCK5|203054	13.1127	0.0750957
ADCY10|55811	1.03723e+06	1
ADCY1|107	0.960202	0.62208
ADCY2|108	0	NaN
ADCY3|109	24.7835	0.0120272
ADCY4|196883	1.6951	0.77222
ADCY5|111	0.0833333	NaN
ADCY6|112	6.90873	0.00391764
ADCY7|113	10.9321	0.00389503
ADCY8|114	0	NaN
ADCY9|115	13.4722	0.00711228
ADCYAP1R1|117	0	NaN
ADCYAP1|116	0.166667	NaN
ADC|113451	4.60672	0.0343725
ADD1|118	8.76729	0.00289946
ADD2|119	0	NaN
ADD3|120	16.9822	0.010582
ADH1A|124	0	NaN
ADH1B|125	0	NaN
ADH1C|126	0	NaN
ADH4|127	0	NaN
ADH5|128	5.11818	0.00252361
ADH6|130	0.0833333	NaN
ADH7|131	0	NaN
ADHFE1|137872	22.8037	0.778185
ADI1|55256	1.69804	0.000799034
ADIG|149685	0	NaN
ADIPOQ|9370	0	NaN
ADIPOR1|51094	10.747	0.00373973
ADIPOR2|79602	20.7885	0.00719855
ADK|132	4.4872	0.00275629
ADM2|79924	0.995269	0.00895332
ADM|133	1.9774	0.00145757
ADNP2|22850	16.4378	0.0152623
ADNP|23394	34.1963	0.00850402
ADORA1|134	1.45334	0.0442148
ADORA2A|135	4.84882	0.139472
ADORA2B|136	13.9028	0.0309133
ADORA3|140	0.345143	0.579933
ADO|84890	13.2418	0.0105548
ADPGK|83440	10.3459	0.00696651
ADPRHL1|113622	10.7868	0.077397
ADPRHL2|54936	10.1899	0.0113872
ADPRH|141	7.31136	0.439261
ADRA1A|148	0	NaN
ADRA1B|147	0.925544	0.0342682
ADRA1D|146	2.79869	0.370752
ADRA2A|150	0.683347	0.199032
ADRA2B|151	1.62419e+06	0.999999
ADRA2C|152	0.311914	0.020824
ADRB1|153	3.30818	0.129017
ADRB2|154	3.94792	0.130375
ADRB3|155	0	NaN
ADRBK1|156	14.0143	0.00486775
ADRBK2|157	8.14215	0.0681016
ADRM1|11047	2.1575	0.0003699
ADSL|158	4.93063	0.00112272
ADSSL1|122622	0.837761	0.000308293
ADSS|159	6.14641	0.00281539
AEBP1|165	5.9147	0.639563
AEBP2|121536	9.35101	0.00641278
AEN|64782	16.6759	0.0132295
AES|166	7.79231	0.00101946
AFAP1L1|134265	4.97259	0.00805531
AFAP1L2|84632	4.854	0.605187
AFAP1|60312	14.8274	0.00360999
AFARP1|246182	18.6624	0.520873
AFF1|4299	24.9327	0.0303773
AFF2|2334	0.0833333	NaN
AFF3|3899	0.166667	NaN
AFF4|27125	36.7135	0.0101693
AFG3L1|172	11.2177	0.0261912
AFG3L2|10939	5.58319	0.00148667
AFMID|125061	8.35105	0.0160079
AFM|173	0	NaN
AFP|174	0.166667	NaN
AFTPH|54812	12.7334	0.00988758
AG2|387763	0.781599	0.0881676
AGAP11|119385	2.13504	0.165699
AGAP1|116987	20.2696	0.0337067
AGAP2|116986	1.77057	0.223072
AGAP3|116988	11.3636	0.00522638
AGAP4|119016	3.62192	0.0319472
AGAP5|729092	12.1245	0.0685488
AGAP6|414189	8.17337	0.0117222
AGAP7|653268	2.57245	0.0740506
AGAP8|728404	6.20842	0.0173601
AGA|175	18.9868	0.0539036
AGBL1|123624	0.0833333	NaN
AGBL2|79841	0	NaN
AGBL3|340351	0.916667	NaN
AGBL4|84871	0.166667	NaN
AGBL5|60509	14.6073	0.0100404
AGER|177	3.84533	0.0539604
AGFG1|3267	7.68217	0.00323322
AGFG2|3268	9.21848	0.0181299
AGGF1|55109	18.3327	0.0152002
AGK|55750	10.0649	0.0135255
AGL|178	7.52926	0.00487637
AGMAT|79814	2.95441	0.00825744
AGPAT1|10554	13.2831	0.00744138
AGPAT2|10555	9.18503	0.00667427
AGPAT3|56894	24.9814	0.019694
AGPAT4|56895	3.76479	0.0152669
AGPAT5|55326	9.77435	0.00561414
AGPAT6|137964	16.4732	0.00912152
AGPAT9|84803	2.97252	0.0191398
AGPHD1|123688	10.8232	0.139673
AGPS|8540	2.1698	0.000771873
AGR2|10551	0.761898	0.162849
AGR3|155465	0	NaN
AGRN|375790	6.32959	0.000669946
AGRP|181	0.0833333	NaN
AGTPBP1|23287	23.8044	0.0411031
AGTR1|185	6.69468	0.380135
AGTR2|186	1.34553	0.801452
AGTRAP|57085	13.4051	0.0134231
AGT|183	1.47909	0.0385221
AGXT2L1|64850	2.10259	0.087235
AGXT2L2|85007	2.89498	0.00337058
AGXT2|64902	0.0833333	NaN
AGXT|189	1.17419	0.501607
AHCTF1|25909	7.27117	0.00201999
AHCYL1|10768	10.1637	0.00150687
AHCYL2|23382	39.7842	0.0438175
AHCY|191	11.6981	0.000926186
AHDC1|27245	20.8214	0.0271529
AHI1|54806	23.894	0.0214205
AHNAK2|113146	4.20324	0.00148226
AHNAK|79026	14.9597	0.000704211
AHRR|57491	5.61009	0.00280805
AHR|196	5.77019	0.00596338
AHSA1|10598	3.57319	0.000869727
AHSA2|130872	3.04091	0.00102026
AHSG|197	0.0833333	NaN
AHSP|51327	0	NaN
AICDA|57379	0	NaN
AIDA|64853	9.91944	0.00649957
AIF1L|83543	25.2686	0.0249953
AIF1|199	0	NaN
AIFM1|9131	3.11396	0.00112619
AIFM2|84883	3.00134	0.00230208
AIFM3|150209	7.40856	0.585261
AIG1|51390	9.6269	0.0147642
AIM1L|55057	1.39419	0.114803
AIM1|202	4.75352	0.126188
AIM2|9447	0	NaN
AIMP1|9255	5.26183	0.00361614
AIMP2|7965	2.22868	0.00149444
AIPL1|23746	0.25	NaN
AIP|9049	5.72505	0.00271977
AIRE|326	2.69062	0.583993
AJAP1|55966	0	NaN
AK1|203	3.1329	0.00254386
AK2|204	10.2457	0.00122228
AK3L1|205	8.21095	0.00984573
AK3|50808	13.5773	0.0100048
AK5|26289	2.09701	0.273036
AK7|122481	1.41708	0.0460834
AKAP10|11216	24.4992	0.0375132
AKAP11|11215	14.4072	0.0108975
AKAP12|9590	2.65683	0.000358309
AKAP13|11214	1.66215	0.000251109
AKAP14|158798	0	NaN
AKAP1|8165	13.7946	0.00459916
AKAP2|11217	3.63352	0.00704102
AKAP3|10566	2.09081	0.582267
AKAP4|8852	0.0833333	NaN
AKAP5|9495	14.0566	0.132539
AKAP6|9472	11.8884	0.0838363
AKAP7|9465	11.8139	0.0654278
AKAP8L|26993	8.61826	0.00580048
AKAP8|10270	8.15144	0.00662502
AKAP9|10142	28.8727	0.010046
AKD1|221264	13.8354	0.136419
AKIRIN1|79647	6.25609	0.00291897
AKIRIN2|55122	20.3722	0.0214285
AKNAD1|254268	2.33333	NaN
AKNA|80709	30.7733	0.135551
AKR1A1|10327	13.3842	0.00512794
AKR1B10|57016	0.320428	0.120745
AKR1B15|441282	0.0833333	NaN
AKR1B1|231	2.0848	0.000514289
AKR1C1|1645	0.690474	0.0091023
AKR1C2|1646	0.98786	0.233103
AKR1C3|8644	0.942015	0.00311298
AKR1C4|1109	0	NaN
AKR1CL1|340811	0.0833333	NaN
AKR1D1|6718	0.278643	0.323261
AKR1E2|83592	0.0833333	NaN
AKR7A2|8574	9.82214	0.00752998
AKR7A3|22977	2.79127	0.197618
AKR7L|246181	5.20634	0.209317
AKT1S1|84335	4.50002	0.00186304
AKT1|207	9.44394	0.00232055
AKT2|208	15.0783	0.00397863
AKT3|10000	0.50265	0.00900226
AKTIP|64400	10.9328	0.046437
ALAD|210	42.8772	0.0666439
ALAS1|211	5.23483	0.00330137
ALAS2|212	0.166667	NaN
ALB|213	0.166667	NaN
ALCAM|214	4.69088	0.00410691
ALDH16A1|126133	4.36538	0.00511999
ALDH18A1|5832	8.69548	0.00148207
ALDH1A1|216	0.166667	NaN
ALDH1A2|8854	2.32684	0.0546503
ALDH1A3|220	2.95927	0.0136712
ALDH1B1|219	9.02628	0.00473297
ALDH1L1|10840	4.0505	0.858672
ALDH1L2|160428	17.8436	0.0223251
ALDH2|217	12.1157	0.0128397
ALDH3A1|218	1.68333	0.0297847
ALDH3A2|224	4.84858	0.00284622
ALDH3B1|221	5.84399	0.00229445
ALDH3B2|222	4.09269	0.590915
ALDH4A1|8659	6.97947	0.0240827
ALDH5A1|7915	23.8567	0.0489596
ALDH6A1|4329	9.74169	0.048448
ALDH7A1|501	17.5756	0.00807088
ALDH8A1|64577	2.12115	0.22838
ALDH9A1|223	5.16119	0.00278858
ALDOA|226	4.94897	0.000109396
ALDOB|229	0.345143	0.579933
ALDOC|230	2.40157	0.00133707
ALG10B|144245	8.79431	0.012597
ALG10|84920	8.48052	0.0371848
ALG11|440138	9.99375	0.302898
ALG12|79087	13.3621	0.0191609
ALG13|79868	13.9115	0.0195456
ALG14|199857	2.77937	0.00903285
ALG1L2|644974	0	NaN
ALG1L|200810	0	NaN
ALG1|56052	3.23462	0.0026892
ALG2|85365	7.78109	0.0107038
ALG3|10195	11.5138	0.0053436
ALG5|29880	4.75425	0.009037
ALG6|29929	4.35578	0.00955693
ALG8|79053	3.8614	0.0016648
ALG9|79796	11.4627	0.0154527
ALKBH1|8846	8.99882	0.0236812
ALKBH2|121642	7.78042	0.00973632
ALKBH3|221120	8.13507	0.0348444
ALKBH4|54784	7.99084	0.0164848
ALKBH5|54890	9.72091	0.00305492
ALKBH6|84964	5.02864	0.0279195
ALKBH7|84266	4.73597	0.00879633
ALKBH8|91801	2.88176	0.00856904
ALK|238	0.25	NaN
ALLC|55821	0.0833333	NaN
ALMS1P|200420	6.80679	0.644778
ALMS1|7840	6.3222	0.00363452
ALOX12B|242	1.3479	0.316069
ALOX12P2|245	0.323866	0.393105
ALOX12|239	8.76627	0.614475
ALOX15B|247	0.231779	0.0507718
ALOX15|246	0.0833333	NaN
ALOX5AP|241	3.16447	0.67842
ALOX5|240	0.25027	0.0448224
ALOXE3|59344	2.60126	0.464406
ALPI|248	0.463374	0.000376305
ALPK1|80216	2.47627	0.00877406
ALPK2|115701	0.516942	0.0410262
ALPK3|57538	17.016	0.427008
ALPL|249	2.44782	0.000269666
ALPPL2|251	0.42581	0.00399475
ALPP|250	0.544721	0.000611271
ALS2CL|259173	4.54345	0.0241724
ALS2CR11|151254	1.3009e+06	1
ALS2CR12|130540	0.746837	0.103057
ALS2CR4|65062	9.93289	0.00768245
ALS2CR8|79800	2.67506	0.0205366
ALS2|57679	11.5676	0.0133462
ALX1|8092	10.0838	0.0698243
ALX3|257	11.9266	0.1856
ALX4|60529	8.34555	0.0567356
AMAC1L2|83650	6.35569	0.745767
AMAC1L3|643664	2.73841	0.350102
AMAC1|146861	0	NaN
AMACR|23600	17.1205	0.0361353
AMBN|258	0	NaN
AMBP|259	0.480066	0.0126678
AMBRA1|55626	20.059	0.0155731
AMD1|262	6.58846	0.00187345
AMDHD1|144193	25.4508	0.372719
AMDHD2|51005	3.8526	0.0141716
AMELX|265	0	NaN
AMELY|266	0	NaN
AMFR|267	27.7097	0.0233091
AMHR2|269	0.490546	0.423903
AMH|268	2.88753	0.0122976
AMICA1|120425	0.0833333	NaN
AMIGO1|57463	23.8912	0.161002
AMIGO2|347902	2.29719	0.00418206
AMIGO3|386724	10.7725	0.0971031
AMMECR1L|83607	11.2888	0.0122113
AMMECR1|9949	5.78535	0.00854618
AMN1|196394	2.02952	0.00711622
AMN|81693	1.03173	0.27282
AMOTL1|154810	12.9216	0.00540408
AMOTL2|51421	0.72265	0.000710881
AMOT|154796	0	NaN
AMPD1|270	0.0833333	NaN
AMPD2|271	9.96556	0.00334643
AMPD3|272	5.31024	0.0383475
AMPH|273	0	NaN
AMTN|401138	0.304296	0.00373885
AMT|275	1.22168	0.0110671
AMY1A|276	0.0833333	NaN
AMY2A|279	0	NaN
AMY2B|280	4.96135	0.0283568
AMZ1|155185	4.38508	0.58715
AMZ2P1|201283	11.7467	0.092496
AMZ2|51321	7.5579	0.00537047
ANAPC10|10393	8.35854	0.0946873
ANAPC11|51529	7.31579	0.00496862
ANAPC13|25847	6.33225	0.00615479
ANAPC16|119504	7.49844	0.00337476
ANAPC1|64682	11.5219	0.00329014
ANAPC2|29882	5.33222	0.00332157
ANAPC4|29945	4.53551	0.00639523
ANAPC5|51433	12.6977	0.00302672
ANAPC7|51434	4.84086	0.00202744
ANGEL1|23357	9.28274	0.0156398
ANGEL2|90806	9.1689	0.0100024
ANGPT1|284	3.36416	0.036855
ANGPT2|285	2.5	NaN
ANGPT4|51378	0	NaN
ANGPTL1|9068	7.80164	0.816785
ANGPTL2|23452	10.1371	0.135215
ANGPTL3|27329	0.497673	0.373907
ANGPTL4|51129	0.348129	0.000193287
ANGPTL5|253935	0.25	NaN
ANGPTL6|83854	0.66427	0.209928
ANGPTL7|10218	0.566879	0.343519
ANG|283	1.3387	0.0124139
ANK1|286	3.67291	0.0625997
ANK2|287	4.11549	0.0484467
ANK3|288	10.7851	0.092218
ANKAR|150709	7.73666	0.469268
ANKDD1A|348094	8.01817	0.128425
ANKFN1|162282	0.520954	0.16343
ANKFY1|51479	21.9288	0.00888069
ANKHD1-EIF4EBP3|404734	8.3905	0.00436859
ANKHD1|54882	34.7121	0.00859325
ANKH|56172	6.3936	0.00212968
ANKIB1|54467	18.5372	0.0101799
ANKK1|255239	1.93479	0.592019
ANKLE1|126549	14.4983	0.0276731
ANKLE2|23141	6.87717	0.00216908
ANKMY1|51281	19.4893	0.122776
ANKMY2|57037	9.16266	0.0177172
ANKRA2|57763	3.03799	0.0202819
ANKRD10|55608	6.00076	0.00291807
ANKRD11|29123	15.9975	0.00331731
ANKRD12|23253	13.0635	0.00629446
ANKRD13A|88455	20.3813	0.0237025
ANKRD13B|124930	14.9204	0.00926395
ANKRD13C|81573	14.4826	0.0124673
ANKRD13D|338692	7.61119	0.0126338
ANKRD16|54522	6.63849	0.0208339
ANKRD17|26057	14.6946	0.00461087
ANKRD19|138649	1.89902	0.00542476
ANKRD1|27063	0.207505	0.00675746
ANKRD20A3|441425	0	NaN
ANKRD20A4|728747	0	NaN
ANKRD20B|729171	0	NaN
ANKRD22|118932	0.15434	0.0215729
ANKRD23|200539	8.37625	0.163835
ANKRD24|170961	2.38643	0.247647
ANKRD26P1|124149	0.333333	NaN
ANKRD26|22852	12.2912	0.0179052
ANKRD27|84079	12.7205	0.00710787
ANKRD28|23243	12.3588	0.00722162
ANKRD29|147463	8.38505	0.0243008
ANKRD2|26287	0.194693	0.0147554
ANKRD30A|91074	0	NaN
ANKRD30B|374860	0	NaN
ANKRD31|256006	2.73626	0.406199
ANKRD32|84250	9.12815	0.0117008
ANKRD33|341405	0.0833333	NaN
ANKRD34A|284615	37.6782	0.175306
ANKRD34B|340120	0	NaN
ANKRD34C|390616	0.0833333	NaN
ANKRD35|148741	0.25	NaN
ANKRD36BP1|84832	16.9798	0.128411
ANKRD36B|57730	5.92402	0.0347605
ANKRD36|375248	11.6444	0.0160397
ANKRD37|353322	0.618431	0.00380881
ANKRD39|51239	3.12203	0.0117242
ANKRD40|91369	16.3011	0.00950013
ANKRD42|338699	8.81036	0.0300719
ANKRD43|134548	0.839616	0.124272
ANKRD44|91526	5.53987	0.0613565
ANKRD45|339416	1.29557	0.450022
ANKRD46|157567	9.55616	0.026689
ANKRD49|54851	11.9816	0.0330393
ANKRD50|57182	22.6834	0.0249675
ANKRD52|283373	15.161	0.00432205
ANKRD53|79998	1.41667	NaN
ANKRD54|129138	9.27048	0.015741
ANKRD55|79722	1.075	0.349594
ANKRD56|345079	1.44289	0.611508
ANKRD57|65124	7.93516	0.00417929
ANKRD58|347454	4.02269	0.534741
ANKRD5|63926	8.90594	0.0655704
ANKRD6|22881	5.3756	0.558469
ANKRD7|56311	0	NaN
ANKRD9|122416	2.31544	0.00389052
ANKS1A|23294	20.8297	0.0177287
